English Date,diesel
2025.08.31,145
2025.09.30,145
2025.09.15,142.5
2025.08.15,149
2025.07.31,150
2025.07.15,148
2025.06.30,149
2025.06.01,145
2025.05.31,143
2025.03.31,149
2025.03.16,151
2025.03.01,155
2025.01.15,156
2024.12.31,153
2024.12.15,151
2024.11.30,153
2024.02.15,160
2025.05.15,142
2025.04.30,145
2025.04.15,146
2025.02.16,156
2025.01.31,160
2024.11.15,153
2024.10.31,150
2024.10.15,151
2024.09.30,147
2024.09.16,149
2024.09.01,154
2024.08.16,155
2024.07.31,158
2024.07.15,160
2024.06.30,157
2024.05.31,153
2024.05.16,154
2024.04.30,159
2024.04.16,161
2024.04.01,158
2024.03.15,158
2024.01.31,158
2024.01.15,156
2023.12.31,157
2023.12.15,157
2023.11.30,160
2023.11.01,164
2023.10.15,168
2023.10.01,173
2023.09.30,179
2023.09.15,173
2023.09.01,170
2023.08.16,167
2023.08.01,153
2023.07.16,146
2023.07.03,150
2023.06.20,155
2023.05.16,155
2023.04.03,165
2023.02.06,175
2023.01.08,172
2022.12.16,175
2022.09.01,178
2022.07.04,172
2022.06.25,163
2022.06.19,192
2022.06.09,165
2022.06.02,153
2022.05.22,163
2022.05.14,153
2022.04.05,143
2022.03.16,138
2022.03.03,133
2022.02.20,128
2022.02.19,128
2022.02.01,125
2022.01.19,122
2021.11.10,119
2021.10.29,116
2021.08.23,113
2021.07.14,111
2021.07.06,112
2021.06.23,110
2021.06.06,108
2021.06.05,108
2021.05.16,106
2021.04.17,104
2021.04.04,103
2021.03.16,101
2021.03.01,99
2021.02.16,97
2021.02.10,95
2021.01.18,93
2020.12.12,91
2020.10.01,89
2020.09.16,90
2020.09.01,91
2020.08.16,91
2020.08.02,90
2020.07.10,88
2020.06.30,87
2020.05.29,85
2020.04.01,85
2020.03.16,95
2020.02.17,97
2020.02.03,99
2020.01.01,100
2019.12.17,98
2019.10.03,97
2019.09.10,95
2019.08.07,97
2019.06.17,96.5
2019.06.06,98.5
2019.05.30,98.5
2019.05.18,97
2019.05.03,98
2019.04.24,97
2019.02.02,97
2019.01.10,95
2019.01.02,95
2018.12.18,97
2018.12.03,99
2018.09.17,101
2018.09.05,98
2018.08.19,95
2018.06.16,93
2018.06.02,95
2018.05.16,92
2018.05.02,90
2018.04.16,87
2018.04.02,85
2018.03.04,85
2018.02.01,83
2018.01.17,81
2018.01.01,79
2017.12.19,78
2017.12.08,77
2017.11.02,74
2017.11.01,75.5